time,displacement
0,51.57
0.251,51.51
0.501,51.44
0.751,51.38
1.001,51.32
1.251,51.26
1.501,51.2
1.751,51.14
2.001,51.09
2.251,51.03
2.501,50.97
2.751,50.92
3.001,50.87
3.251,50.82
3.501,50.77
3.751,50.72
4.001,50.67
4.251,50.63
4.501,50.58
4.751,50.54
5.001,50.5
5.251,50.46
5.501,50.42
5.751,50.39
6.001,50.36
6.361,50.32
6.721,50.28
7.141,50.25
7.561,50.22
7.981,50.19
8.461,50.16
9.001,50.14
9.481,50.11
10.081,50.09
10.681,50.08
11.281,50.07
11.941,50.04
12.661,50.05
13.441,50.01
14.221,50
15.061,49.96
15.961,49.95
16.921,49.91
17.881,49.9
18.961,49.89
20.101,49.87
21.301,49.85
22.561,49.84
23.881,49.82
25.321,49.81
26.821,49.8
28.381,49.79
30.061,49.78
31.861,49.78
33.721,49.77
35.761,49.76
37.861,49.75
40.081,49.78
42.481,49.76
45.001,49.75
47.641,49.77
50.461,49.76
53.461,49.75
56.641,49.75
60,49.73
63.6,49.72
67.284,49.72
71.401,49.71
75.6,49.7
79.8,49.69
84.62,49.68
90,49.67
94.8,49.66
100.8,49.65
106.8,49.63
112.8,49.62
119.4,49.61
126.6,49.6
134.4,49.58
142.2,49.57
150.6,49.55
159.6,49.54
169.2,49.51
178.8,49.49
189.6,49.47
201,49.45
213.001,49.43
225.6,49.4
238.801,49.38
253.201,49.35
268.201,49.33
283.8,49.29
300.6,49.26
318.6,49.23
337.201,49.19
357.6,49.15
378.6,49.11
400.8,49.07
424.8,49.02
450.001,48.96
476.401,48.92
504.6,48.87
534.6,48.82
566.401,48.76
600,48.7
636,48.64
672,48.58
714,48.5
756,48.43
798,48.36
846,48.27
900,48.18
948,48.1
1008,48
1068,47.88
1128,47.78
1194,47.67
1266,47.55
1344,47.42
1422,47.29
1506,47.15
1596,47
1692,46.84
1788,46.67
1896,46.47
2010,46.27
2130,46.04
2256,45.83
2388,45.58
2532,45.27
2682,44.94
2838,44.59
3006,44.23
3186,43.84
3372,43.47
3576,43.09
3786,42.69
4008,42.31
4248,41.93
4500,41.53
4764,41.16
5046,40.77
5346,40.37
5664,39.97
6000,39.56
6360,39.15
6720,38.76
7140,38.31
7560,37.87
7980,37.44
8460,36.97
9000,36.43
9480,35.96
10080,35.39
10680,34.84
11280,34.3
11880,33.77
12480,33.25
13080,32.73
13680,32.23
14280,31.74
14880,31.25
15480,30.78
16080,30.32
16680,29.85
17280,29.4
17880,28.96
18480,28.53
19080,28.09
19680,27.65
20280,27.22
20880,26.8
21480,26.38
22080,25.97
22680,25.56
23280,25.16
23880,24.77
24480,24.39
25080,24
25680,23.63
26280,23.27
26880,22.91
27480,22.56
28080,22.21
28680,21.86
29280,21.52
29880,21.19
30480,20.86
31080,20.54
31680,20.22
32280,19.91
32880,19.59
33480,19.28
34080,18.97
34680,18.68
35280,18.38
35880,18.09
36480,17.81
37080,17.53
37680,17.26
38280,16.98
38880,16.71
39480,16.45
40080,16.18
40680,15.92
41280,15.67
41880,15.41
42480,15.17
43080,14.92
43680,14.67
44280,14.44
44880,14.2
45480,13.96
46080,13.73
46680,13.5
47280,13.28
47880,13.05
48480,12.82
49080,12.6
49680,12.38
50280,12.17
50880,11.96
51480,11.75
52080,11.54
52680,11.33
53280,11.12
53880,10.93
54480,10.71
55080,10.53
55680,10.33
56280,10.14
56880,9.94
57480,9.76
58080,9.57
58680,9.39
59280,9.21
59880,9.03
60480,8.85
61080,8.67
61680,8.5
62280,8.32
62880,8.15
63480,7.98
64080,7.81
64680,7.65
65280,7.48
65880,7.31
66480,7.14
67080,6.98
67680,6.83
68280,6.67
68880,6.51
69480,6.35
70080,6.2
70680,6.05
71280,5.9
71880,5.76
72480,5.61
73080,5.47
73680,5.32
74280,5.18
74880,5.04
75480,4.89
76080,4.76
76680,4.62
77280,4.48
77880,4.35
78480,4.22
79080,4.09
79680,3.96
80280,3.83
80880,3.7
81480,3.58
82080,3.46
82680,3.33
83280,3.2
83880,3.08
84480,2.97
85080,2.86
85680,2.74
86280,2.62
86880,2.51
87480,2.39
88080,2.29
88680,2.17
89280,2.07
89880,1.96
90480,1.85
91080,1.74
91680,1.64
92280,1.53
92880,1.43
93480,1.33
94080,1.23
94680,1.13
95280,1.03
95880,0.93
96480,0.83
97080,0.73
97680,0.64
98280,0.55
98880,0.46
99480,0.36
100080,0.27
100680,0.18
101280,0.09
101880,0
